                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2729,                 2.6345,                 1.2814,                0.59357,                0.43775,                0.46272,                0.31707,                 1.3278,                 1.8088,                 1.3345,               0.070526,              0.0032749,              0.0032749
                      1,                0.89952,                0.99374,                 1.0419,                0.91739,                0.57982,                0.72309,                0.53773,                 1.0357,                 1.0903,                 1.1232,               0.040308,              0.0063901,              0.0063901
                      2,                0.87012,                0.91047,                 1.0134,                0.82537,                0.59438,                0.66925,                0.47152,                 1.2113,                 1.2749,                 1.2446,              0.0098702,              0.0092854,              0.0092854
                      3,                0.89098,                 0.9003,                0.97251,                0.93794,                0.84971,                0.90184,                0.70576,                0.82351,                0.83362,                0.95559,                0.00901,                0.00901,                0.00901
                      4,                0.89407,                0.84534,                 1.0006,                0.89052,                0.58802,                0.71449,                0.55463,                 1.0073,                 1.2436,                 1.1227,                0.00901,                0.00901,                0.00901
                      5,                0.85581,                0.69721,                0.98954,                0.93236,                0.71966,                0.85436,                0.64578,                0.94844,                0.90783,                 1.0479,                0.00868,                0.00868,                0.00868
                      6,                0.84912,                0.66451,                0.97625,                0.48723,                0.35743,                0.40266,                0.22171,                 2.0304,                 3.3606,                 1.8555,                0.00835,                0.00835,                0.00835
                      7,                0.85177,                0.64721,                0.98893,                 0.8122,                0.60643,                0.68224,                0.48975,                 1.1557,                 1.3071,                 1.1852,                0.00802,                0.00802,                0.00802
                      8,                0.81767,                0.61427,                0.97854,                0.94174,                0.84388,                0.91953,                0.73369,                0.83176,                0.67391,                0.98865,                0.00769,                0.00769,                0.00769
                      9,                0.80614,                0.59491,                0.97397,                0.93991,                 0.7751,                0.85779,                  0.677,                0.86425,                0.78783,                 1.0028,                0.00736,                0.00736,                0.00736
                     10,                0.78554,                0.56447,                0.95398,                0.92457,                0.80723,                0.88178,                0.67754,                0.86372,                0.75362,                  1.026,                0.00703,                0.00703,                0.00703
                     11,                0.76492,                0.53807,                0.95197,                 0.9402,                0.84337,                0.92024,                0.74365,                 0.7796,                0.65538,                0.94933,                 0.0067,                 0.0067,                 0.0067
                     12,                0.76487,                0.54545,                0.94838,                0.95111,                 0.9375,                0.97769,                0.78909,                 0.7529,                0.48315,                0.93674,                0.00637,                0.00637,                0.00637
                     13,                 0.7397,                0.52042,                0.94412,                0.93384,                0.91165,                0.95382,                0.76132,                0.78201,                0.53714,                0.94801,                0.00604,                0.00604,                0.00604
                     14,                0.73711,                0.51079,                0.94054,                0.91505,                0.91165,                0.95374,                0.74683,                0.77252,                0.54202,                0.95653,                0.00571,                0.00571,                0.00571
                     15,                0.71709,                0.48809,                0.92722,                0.97995,                0.93574,                0.98451,                0.81368,                0.71096,                0.45447,                0.91673,                0.00538,                0.00538,                0.00538
                     16,                0.69405,                0.45847,                0.92532,                 0.9865,                0.96787,                0.99307,                 0.8359,                 0.6737,                0.41534,                0.89254,                0.00505,                0.00505,                0.00505
                     17,                0.69924,                0.46862,                0.92792,                0.98777,                0.97325,                0.98969,                0.84519,                0.62772,                0.38597,                0.88771,                0.00472,                0.00472,                0.00472
                     18,                0.69526,                0.47366,                0.93375,                0.97096,                0.93984,                0.97711,                0.82909,                0.66999,                0.41022,                0.90198,                0.00439,                0.00439,                0.00439
                     19,                0.65049,                0.43404,                 0.9123,                0.95432,                0.83901,                0.94897,                 0.7836,                0.73557,                 0.5742,                0.92819,                0.00406,                0.00406,                0.00406
                     20,                0.56792,                0.36382,                0.86921,                  0.974,                0.93976,                0.98651,                0.83348,                0.66381,                0.39777,                0.88915,                0.00373,                0.00373,                0.00373
                     21,                 0.5671,                0.36537,                0.86989,                0.98372,                0.97097,                0.99231,                0.85026,                0.67068,                0.36715,                0.89891,                 0.0034,                 0.0034,                 0.0034
                     22,                0.55878,                0.34976,                 0.8633,                0.97508,                0.92771,                0.97844,                0.81626,                0.67821,                0.41781,                0.90897,                0.00307,                0.00307,                0.00307
                     23,                0.54831,                0.33467,                0.85957,                0.97747,                0.92369,                0.96865,                0.79993,                0.72524,                0.42689,                0.93191,                0.00274,                0.00274,                0.00274
                     24,                0.53681,                0.33025,                0.85395,                0.96064,                0.96386,                0.98404,                0.85182,                0.65606,                0.38782,                0.89527,                0.00241,                0.00241,                0.00241
                     25,                0.52914,                0.31462,                0.85396,                0.99078,                0.95984,                0.98995,                0.84296,                0.66855,                0.34526,                0.89607,                0.00208,                0.00208,                0.00208
                     26,                0.51568,                0.30961,                0.84889,                0.98317,                0.93841,                0.97786,                0.84593,                0.65515,                0.41328,                0.89789,                0.00175,                0.00175,                0.00175
                     27,                0.50079,                0.29657,                0.83496,                0.98114,                 0.9759,                0.99404,                0.87883,                 0.6195,                0.31422,                0.87443,                0.00142,                0.00142,                0.00142
                     28,                0.49162,                0.29421,                0.84001,                0.97859,                0.98394,                0.99366,                0.88231,                0.61667,                0.31509,                0.87517,                0.00109,                0.00109,                0.00109
                     29,                0.49335,                0.28374,                0.84292,                0.98674,                 0.9759,                0.99392,                0.87391,                0.61716,                0.30074,                  0.888,                0.00076,                0.00076,                0.00076
